Name,Amount
"BAIRD, KIMBERLEY CAROLYN","26,150 "
"BAJPAI, VISHAL K, IN TRUST","50,000 "
BAKER CREEK ENHANCEMENT SOCIETY,"30,990 "
"BAKER, ROBERT N, DR","74,128 "
BAL GLOBAL FINANCE CANADA CORPORATION,"42,466 "
"BALBIS, DANILO T","145,259 "
"BALFOUR, QUINTIN D","27,602 "
BALME AYR FARMS LTD.,"38,795 "
BANDSTRA MOVING SYSTEMS LTD.,"47,521 "
BANDSTRA TRANSPORTATION SYSTEMS LTD.,"290,051 "
BANDSTRA VENTURES LTD.,"34,902 "
BANK OF INTERNATIONAL SETTLEMENTS,"30,063 "
BANK OF MONTREAL,"150,894 "
BANK OF MONTREAL (MASTERCARD),"43,702,190 "
BANK OF NOVA SCOTIA,"33,832 "
BARBERSHOP FILMS INC.,"115,834 "
BARD CANADA INC.,"163,094 "
"BARNES, GAIL P","47,376 "
BARR PLASTICS INC.,"29,107 "
BARRIE MACKAY CONTRACTING LTD.,"3,198,457 "
BARRINGTON RANCH LTD.,"28,712 "
BARSI ENTERPRISES LTD.,"78,861 "
BARTLETT CONSULTING SERVICES,"160,992 "
BARTLETT CONTRACTING & EXCAVATING,"47,655 "
"BASECAMP INNOVATIONS, LTD.","105,000 "
BASELINE ARCHAEOLOGICAL SERVICES LTD.,"84,517 "
BASETWO MEDIA INC.,"51,707 "
BASHOR CONSTRUCTION LTD.,"30,487 "
"BASS, GARY","28,068 "
BASTION LAW CORPORATION,"105,067 "
"BAUGHEN, CALLUM, DR","31,645 "
"BAUMANN, WALTER","36,733 "
BAXTER CORPORATION,"610,242 "
"BAXTER, JEREMY THOMAS ANDREW","27,592 "
"BAYLIFF, BRYCE DAVID","30,131 "
BAYTREE COMMUNICATIONS INC.,"59,845 "
BC EMERGENCY HEALTH SERVICES,"148,222 "
BC FALLERS LTD.,"116,360 "
BC OIL AND GAS COMMISSION,"152,042 "
BC ONLINE,"86,829 "
BC TRANSPORTATION FINANCING AUTHORITY,"441,190,233 "
BC TREE FRUITS COOPERATIVE,"53,479 "
BCCA PROGRAM DELIVERY INC.,"3,102,129 "
BCIMC REALTY CORPORATION,"42,193 "
BCNET,"69,675 "
BD HALL CONSTRUCTORS CORP.,"1,856,676 "
BD SILVICULTURE,"48,285 "
BDO CANADA LLP,"219,647 "
BEAMAC INSTALLATIONS LTD.,"219,892 "
BEARCREEK VENTURES LTD.,"61,734 "
BEATRIX JOSEPHY LAW CORPORATION,"52,664 "
"BEATTIE, CRAIG W, DR","27,027 "
BEATTON AIRPORT CAMP SERVICES LTD.,"245,608 "
BEAVER ENTERPRISES LIMITED PARTNERSHIP,"26,631 "
BEAVER MEADOWS FARMS (1971) LTD,"80,318 "
BEDFORD ENTERPRISES LTD.,"153,328 "
"BEER, BRADLEY D","57,212 "
BEGBIE COURT HOLDINGS INC.,"229,482 "
"BEGG, STEVEN M","35,197 "
"BEIJING JIA AO REAL ESTATE DEVELOPMENT CO., LTD.","381,648 "
BEIJING XIANGJIANG XINGLI REAL ESTATE DEVELOPMENT CO. LTD.,"90,668 "
"BEIRNE, PATRICK JAMES","113,130 "
BEKINS MOVING AND STORAGE (CANADA) LTD.,"279,679 "
BELFOR (CANADA) INC.,"37,159 "
BELL AND HOWELL CANADA LTD.,"228,385 "
BELL CANADA,"804,636 "
BELL FOUR VENTURES LTD.,"47,074 "
BELL GLOBEMEDIA PUBLISHING INC,"53,416 "
BELL MOBILITY,"781,011 "
BELL MOBILITY INC.,"206,708 "
"BELL, CORINN","49,077 "
"BELL, WILLIAM HENRY","26,562 "
BELLA COOLA AIR LTD.,"25,094 "
BELLA COOLA CONTRACTORS LTD.,"469,520 "
BELMAR CONSULTING GROUP INC.,"26,250 "
BELVEDERE PLACE CONTRACTING LTD.,"2,235,458 "
BENCHMARK ESTATE (2009) LTD.,"545,170 "
BENCHMARK ESTATE (2009) LTD. & CAMBRIDGE BUSINESS CENTRES INC.,"79,512 "
"BENNETT, TIMOTHY C","25,681 "
BENTLEY CANADA INC.,"57,341 "
BENTLEY SYSTEMS INC,"210,507 "
BERGERON FUNERAL SERVICES & CREMATORIUM LTD.,"70,881 "
BERG–MAC INDUSTRIES LTD.,"152,828 "
"BERLIN, EATON & ASSOCIATES LTD.","698,619 "
BERT PHIPPS CONSULTING LTD.,"136,541 "
BEST BUY MEDICAL SUPPLIES INC.,"148,551 "
BEST COAST REAL ESTATE INC.,"561,675 "
BETTER CHOICE STAFFING LTD.,"146,821 "
"BEURSKENS, CAROLYN M","39,646 "
"BEYER, EDYTHE A","63,148 "
BFF FOAM CORP.,"50,574 "
BGC ENGINEERING INC.,"1,050,946 "
"BHALLOO, SHAFIK","38,600 "
"BHATTI, RAJINDER SINGH, ET AL","269,292 "
BHEX CONTRACTING LTD.,"259,014 "
BHUDAK CONSULTANTS LTD,"49,602 "
BI–AIR APPLICATION SERVICES LTD.,"41,871 "
BID RIGHT CONTRACTING LTD.,"80,576 "
"BIENECK INTERNATIONAL, INC.","87,302 "
BIG COUNTRY REFORESTATION,"35,807 "
BIG HORN CONTRACTING LTD.,"73,562 "
BIGHORN HELICOPTERS INC.,"2,053,688 "
BIKE TO WORK BRITISH COLUMBIA SOCIETY,"140,000 "
BILL CASH ENTERPRISES LTD.,"113,204 "
BILLABONG ROAD & BRIDGE MAINTENANCE INC.,"14,716,344 "
"BILLEY, ERNEST & BILLEY, FARREN LLOYD & BILLEY, SHARRON MAXINE","142,754 "
BILLY GOAT ADVENTURES LTD.,"96,414 "
BINNIE CONSTRUCTION SERVICES LTD.,"2,424,538 "
BIO NUCLEAR DIAGNOSTICS INC,"31,477 "
BIO–GEO DYNAMICS LTD.,"59,703 "
BIOLINX ENVIRONMENTAL RESEARCH LTD.,"55,782 "
"BIRD, MURRAY BRADLEY","53,192 "
BIRKDALE FARM LTD.,"46,549 "
BITHEAD CONSULTING,"143,241 "
BIV MEDIA LIMITED PARTNERSHIP,"47,384 "
BJORNSON HOLDINGS LIMITED,"496,073 "
"BLACK BALL TRANSPORT, INC.","273,970 "
BLACK MOUNT LOGGING INC.,"31,852 "
